school_id,name,short,old_name,type,proid,pro_name
33,大连海事大学,"大连海事,DMU,大连海大",大连海运学院,6000,21,辽宁
37,西北大学,NWU,国立西北大学,6000,61,陕西
48,北京邮电大学,"bupt,北邮",北京邮电学院,6000,11,北京
60,天津大学,"天大,TJU",北洋大学,6000,12,天津
69,安徽工业大学,安工大,华东冶金学院,6000,34,安徽
71,济南大学,ujn,山东建筑材料工业学院,6000,37,山东
72,安徽医科大学,"安徽医大,安医大,东南医学院,安徽医学院","东南医学院,安徽医学院",6000,34,安徽
81,天津理工大学,天津理工,天津理工学院,6000,12,天津
87,天津外国语大学,天津外国语,天津外国语专科学校,6000,12,天津
88,中国民航大学,"中航大,CAUC",中国民用航空学院,6000,12,天津
90,天津职业技术师范大学,天津工程师范学院,"天津职业技术师范学院,天津工程师范学院",6000,12,天津
97,兰州大学,兰大,"兰州中山大学,甘肃法政学堂",6000,62,甘肃
100,四川农业大学,"川农,川农大",四川农学院,6000,51,四川
105,华南理工大学,"scut,华南理工,华工,华工大",华南工学院,6000,44,广东
108,南昌大学,NCU,国立中正大学,6000,36,江西
113,南京农业大学,"南京农大,南农,南农大,南京农业",南京农学院,6000,32,江苏
121,中国地质大学（武汉）,"地大,CUG,中国地质大学武汉,地质大学（武汉）,地质大学武汉,武汉地质大学,武汉中国地质大学,地质大学","中国地质大学,中国地质大学（武汉）",6000,42,湖北
122,吉林大学,"jlu,吉大","东北行政学院,东北人民大学",6000,22,吉林
124,哈尔滨工程大学,"哈工程,HEU,哈尔滨工程学院,哈尔滨工程",中国人民解放军军事工程学院,6000,23,黑龙江
135,东华大学,DHU,中国纺织大学,6000,31,上海
137,东北农业大学,东北农大,东北农学院,6000,23,黑龙江
138,大连理工大学,"dlut,大工,大连理工",大连理工大学盘锦校区,6000,21,辽宁
143,北京理工大学,"北理工,北理",北京工业学院,6000,11,北京
151,南京审计大学,"南审,NAU,南京审计",南京审计学院,6000,32,江苏
156,常州大学,常大,江苏工业学院,6000,32,江苏
158,徐州医科大学,徐医大,徐州医学院,6000,32,江苏
163,苏州科技大学,苏科大,苏州科技学院,6000,32,江苏
164,南京财经大学,"南财,南京财经",南京经济学院,6000,32,江苏
167,江苏师范大学,江苏师大,徐州师范大学,6000,32,江苏
183,景德镇陶瓷大学,景陶,景德镇陶瓷学院,6000,36,江西
186,上饶师范学院,"上饶师院,上饶师范学校",赣东北大学,6000,36,江西
189,赣南师范大学,"赣师大,赣南师大,赣南师范",赣南师范学院,6000,36,江西
190,江西科技师范大学,江西科技师范学院,江西科技师范学院,6000,36,江西
191,长江师范学院,长江师范,涪陵师范学院,6000,50,重庆
193,四川外国语大学,川外,四川外语学院,6000,50,重庆
207,锦州医科大学,锦医大,辽宁医学院,6000,21,辽宁
208,大连民族大学,大连民大,大连民族学院,6000,21,辽宁
209,沈阳航空航天大学,沈航,沈阳航空工业学院,6000,21,辽宁
210,大连海洋大学,大连海洋,大连水产学院,6000,21,辽宁
215,沈阳化工大学,沈阳化工,"沈阳化工学院,辽宁科学技术大学",6000,21,辽宁
216,大连外国语大学,"大连外国语学院,大连外国语",大连外国语学院,6000,21,辽宁
218,大连大学,连大,大连工学院分院,6000,21,辽宁
219,大连医科大学,大医,大连医学院,6000,21,辽宁
220,大连交通大学,大连交大,大连铁道学院,6000,21,辽宁
229,东北财经大学,"东财,东北财经,东北财大",辽宁财经学院,6000,21,辽宁
230,中国医科大学,中国医大,中国工农红军卫生学校,6000,21,辽宁
232,成都理工大学,成都理工,成都理工学院,6000,51,四川
234,新疆医科大学,新疆医大,新疆医学院,6000,65,新疆
236,喀什大学,喀大,喀什师范学院,6000,65,新疆
246,浙江科技学院,"浙科院,ZUST",浙江大学附属杭州工业专科学校,6000,33,浙江
247,中国计量大学,"中量大,CJLU",中国计量学院,6000,33,浙江
248,浙江海洋大学,"浙海大,ZJOU",浙江海洋学院,6000,33,浙江
249,浙江农林大学,浙江林学院,浙江林学院,6000,33,浙江
250,浙江中医药大学,浙江中医,浙江中医学院,6000,33,浙江
251,温州医科大学,温医大,温州医学院,6000,33,浙江
258,浙江财经大学,"浙财大,浙财,ZUFE",浙江财经学院,6000,33,浙江
268,西南石油大学,"西南石油,SWPU,西南石大",西南石油学院,6000,51,四川
270,成都信息工程大学,"成信大,成信,CUIT","成都气象学院,成都信息工程学院",6000,51,四川
274,西南医科大学,西南医大,"泸州医学院,四川医科大学",6000,51,四川
278,太原科技大学,太原科技,山西省机械制造工业学校,6000,14,山西
289,广州中医药大学,"广中医,广东中医药大学",广州中医学院,6000,44,广东
290,广东外语外贸大学,广外,"广州外国语学院,广州对外贸易学院",6000,44,广东
292,广东石油化工学院,广东石油化工大学,茂名学院,6000,44,广东
294,广东医科大学,广东医大,广东医学院,6000,44,广东
295,广州医科大学,广医,广州医学院,6000,44,广东
296,广东药科大学,"广药,GDPU",广东药学院,6000,44,广东
299,岭南师范学院,湛江师范学院,"湛江师范学院,雷州师范专科学校",6000,44,广东
302,广东财经大学,"广财,广东财大,GDUFE",广东商学院,6000,44,广东
306,佛山科学技术学院,佛科院,佛山大学,6000,44,广东
309,上海海洋大学,上海水产大学,上海水产大学,6000,31,上海
312,上海第二工业大学,二工大,上海市业余工业大学,6000,31,上海
315,上海应用技术大学,上应大,上海应用技术学院,6000,31,上海
316,安徽工程大学,安徽工程,安徽工程科技学院,6000,34,安徽
318,上海对外经贸大学,"上经贸大,上贸大,贸大,suibe",上海对外贸易学院,6000,31,上海
323,华东政法大学,"ecupl,华东政法",华东政法学院,6000,31,上海
324,上海体育大学,上海体院,上海体育学院,6000,31,上海
328,淮北师范大学,淮北煤炭师范学院,淮北煤炭师范学院,6000,34,安徽
332,西北农林科技大学,"西北农林,西农",国立西北农林专科学校,6000,61,陕西
334,陕西师范大学,"陕师大,陕西师大,SNNU,陕西师范","西安师范学院,陕西师范学院",6000,61,陕西
343,云南农业大学,云南农大,昆明农林学院,6000,53,云南
344,云南师范大学,"云南师大,云师大",昆明师范学院,6000,53,云南
347,昆明医科大学,昆明医学院,昆明医学院,6000,53,云南
348,云南中医药大学,YNUTCM,云南中医学院,6000,53,云南
352,西安科技大学,西安科大,西安科技学院，西安矿业学院,6000,61,陕西
